NetworkName,ChannelName
TV Gazeta Alagoas,Globo África
TV Gazeta Alagoas,Rede Globo
TV Gazeta Alagoas,NSC TV Blumenau
TV Gazeta Alagoas,Rede Amazônica Humaitá
TV Gazeta Alagoas,TV TEM Bauru
TV Gazeta Alagoas,TV Asa Branca
TV Gazeta Alagoas,TV Centro América Sinop
TV Gazeta Alagoas,TV Morena Ponta Porã
TV Gazeta Alagoas,TV Centro América Rondonópolis
TV Gazeta Alagoas,TV Globo Rio de Janeiro
TV Gazeta Alagoas,EPTV Sul de Minas
TV Gazeta Alagoas,TV Centro América Cuiabá
TV Gazeta Alagoas,RPC Ponta Grossa
TV Gazeta Alagoas,NSC TV Florianópolis
TV Gazeta Alagoas,RPC Londrina
TV Gazeta Alagoas,Rede Clube
TV Gazeta Alagoas,Rede Amazônica Vilhena
TV Gazeta Alagoas,TV Mirante Imperatriz
TV Gazeta Alagoas,TV Integração
TV Gazeta Alagoas,RBS TV Passo Fundo
TV Gazeta Alagoas,TV Globo São Paulo
TV Gazeta Alagoas,TV Verdes Mares
TV Gazeta Alagoas,RPC Paranavaí
TV Gazeta Alagoas,RBS TV Pelotas
TV Gazeta Alagoas,Globo Portugal
TV Gazeta Alagoas,RPC Maringá
TV Gazeta Alagoas,Inter TV Costa Branca
TV Gazeta Alagoas,Inter TV Grande Minas
TV Gazeta Alagoas,EPTV Campinas e região
TV Gazeta Alagoas,TV Integração Araxá
TV Gazeta Alagoas,Rede Amazônica Carauari
TV Gazeta Alagoas,RBS TV Porto Alegre
TV Gazeta Alagoas,TV TEM São José do Rio Preto
TV Gazeta Alagoas,Inter TV Vales de Minas Gerais
TV Gazeta Alagoas,TV TEM Itapetininga
TV Gazeta Alagoas,Rede Amazônica Ji-Paraná
TV Gazeta Alagoas,TV Cabo Branco
TV Gazeta Alagoas,TV Anhanguera Goiânia
TV Gazeta Alagoas,TV Diário Mogi das Cruzes
TV Gazeta Alagoas,TV Tapajós
TV Gazeta Alagoas,TV Tribuna
TV Gazeta Alagoas,Inter TV Cabugi
TV Gazeta Alagoas,NSC TV Chapecó
TV Gazeta Alagoas,Rede Amazônica Ariquemes
TV Gazeta Alagoas,NSC TV Criciúma
TV Gazeta Alagoas,TV Rio Sul
TV Gazeta Alagoas,Inter TV Alto Litoral
TV Gazeta Alagoas,TV Globo Nordeste
TV Gazeta Alagoas,RPC Foz do Iguaçu
TV Gazeta Alagoas,NSC TV Joinville
TV Gazeta Alagoas,TV Gazeta Espírito Santo
TV Gazeta Alagoas,Inter TV Serra+Mar
TV Gazeta Alagoas,EPTV Central
TV Gazeta Alagoas,RPC Cascavel
TV Gazeta Alagoas,TV TEM Sorocaba
TV Gazeta Alagoas,Rede Amazônica Cruzeiro do Sul
TV Gazeta Alagoas,TV Integração Uberaba
TV Gazeta Alagoas,Rede Amazônica Coari
TV Gazeta Alagoas,Rede Amazônica Rorainópolis
TV Gazeta Alagoas,TV Globo Brasília
TV Gazeta Alagoas,Rede Amazônica Parinitins
TV Gazeta Alagoas,TV Globo Minas
TV Gazeta Alagoas,Rede Amazônica Manacapuru
TV Thathi Vale,TV Thathi Vale
Boa Vontade TV,Boa Vontade TV
Rede CNT Rio de Janeiro,Rede CNT Curitiba
Rede CNT Rio de Janeiro,Rede CNT Satélite
Rede CNT Rio de Janeiro,Rede CNT Rio de Janeiro
SIC TV,SIC TV
TV Gazeta São Paulo,TV Gazeta São Paulo
Fundação Cultural Riograndense,Fundação Cultural Riograndense
SBT Rio,SBT Rede 1
SBT Rio,VTV
SBT Rio,SBT SP
SBT Rio,SBT Rede 2
SBT Rio,SBT Internacional America
SBT Rio,SBT Brasília
SBT Rio,SBT Nacional
SBT Rio,SBT Rio
SBT Rio,SBT Rio Grande
SBT Rio,SBT Pará
TV Thathi Campinas,TV Thathi Campinas
TV Thathi Campinas,TV Sucesso
TV Thathi Campinas,Record Interior SP
TV Thathi Campinas,Record Belém
TV Thathi Campinas,Record Bahia
TV Thathi Campinas,Record Litoral e Vale
TV Thathi Campinas,Record Manaus
TV Thathi Campinas,Record Interior RJ
TV Thathi Campinas,Record Rio
Band Vale,Band Bahia
Band Vale,Band Rede
Band Vale,Band Rio Interior
Band Vale,Band Ceará
Band Vale,Band RS
Band Vale,Band SP Interior
Band Vale,Band São Paulo
Band Vale,Band Amazonas
Band Vale,Band Vale
Band Vale,Band Nacional
Band Vale,Band Triângulo
Band Vale,Band Sat
Band Vale,Band Alternativo
Band Vale,Band Rio
Band Vale,Band Minas
TV Aparecida,TV Aparecida
Band Amazonas,Band Bahia
Band Amazonas,Band Rede
Band Amazonas,Band Rio Interior
Band Amazonas,Band Ceará
Band Amazonas,Band RS
Band Amazonas,Band SP Interior
Band Amazonas,Band São Paulo
Band Amazonas,Band Amazonas
Band Amazonas,Band Vale
Band Amazonas,Band Nacional
Band Amazonas,Band Triângulo
Band Amazonas,Band Sat
Band Amazonas,Band Alternativo
Band Amazonas,Band Rio
Band Amazonas,Band Minas
Band Bahia,Band Bahia
Band Bahia,Band Rede
Band Bahia,Band Rio Interior
Band Bahia,Band Ceará
Band Bahia,Band RS
Band Bahia,Band SP Interior
Band Bahia,Band São Paulo
Band Bahia,Band Amazonas
Band Bahia,Band Vale
Band Bahia,Band Nacional
Band Bahia,Band Triângulo
Band Bahia,Band Sat
Band Bahia,Band Alternativo
Band Bahia,Band Rio
Band Bahia,Band Minas
Canais Globo,Premiere FC 7
Canais Globo,Premiere Clubes
Canais Globo,Combate
Canais Globo,Premiere FC 2
Canais Globo,Premiere FC 9
Canais Globo,SporTV 2 Alternativo
Canais Globo,Modo Viagem
Canais Globo,Gloobinho
Canais Globo,Premiere FC 1
Canais Globo,SporTV 3
Canais Globo,Premiere FC 8
Canais Globo,Premiere FC 6
Canais Globo,Canal Off
Canais Globo,GNT
Canais Globo,Gloob
Canais Globo,Multishow
Canais Globo,Mosaico SporTV
Canais Globo,Canal Brasil
Canais Globo,Premiere FC 4
Canais Globo,Bis
Canais Globo,SporTV 2
Canais Globo,Viva
Canais Globo,Premiere FC 5
Canais Globo,SporTV Alternativo
Canais Globo,Premiere FC 10
Canais Globo,Premiere FC 3
TV Canção Nova,TV Canção Nova
Band SP Interior,Band Bahia
Band SP Interior,Band Rede
Band SP Interior,Band Rio Interior
Band SP Interior,Band Ceará
Band SP Interior,Band RS
Band SP Interior,Band SP Interior
Band SP Interior,Band São Paulo
Band SP Interior,Band Amazonas
Band SP Interior,Band Vale
Band SP Interior,Band Nacional
Band SP Interior,Band Triângulo
Band SP Interior,Band Sat
Band SP Interior,Band Alternativo
Band SP Interior,Band Rio
Band SP Interior,Band Minas
Band Minas,Band Bahia
Band Minas,Band Rede
Band Minas,Band Rio Interior
Band Minas,Band Ceará
Band Minas,Band RS
Band Minas,Band SP Interior
Band Minas,Band São Paulo
Band Minas,Band Amazonas
Band Minas,Band Vale
Band Minas,Band Nacional
Band Minas,Band Triângulo
Band Minas,Band Sat
Band Minas,Band Alternativo
Band Minas,Band Rio
Band Minas,Band Minas
Band Rio Interior,Band Bahia
Band Rio Interior,Band Rede
Band Rio Interior,Band Rio Interior
Band Rio Interior,Band Ceará
Band Rio Interior,Band RS
Band Rio Interior,Band SP Interior
Band Rio Interior,Band São Paulo
Band Rio Interior,Band Amazonas
Band Rio Interior,Band Vale
Band Rio Interior,Band Nacional
Band Rio Interior,Band Triângulo
Band Rio Interior,Band Sat
Band Rio Interior,Band Alternativo
Band Rio Interior,Band Rio
Band Rio Interior,Band Minas
Band Paraná,Band Paraná
Band Campinas,Band Campinas
Big Brother Brasil,Big Brother Brasil
Grupo Bandeirantes,Band Bahia
Grupo Bandeirantes,Band Rede
Grupo Bandeirantes,Band Rio Interior
Grupo Bandeirantes,Band Ceará
Grupo Bandeirantes,Band RS
Grupo Bandeirantes,Band SP Interior
Grupo Bandeirantes,Band São Paulo
Grupo Bandeirantes,Band Amazonas
Grupo Bandeirantes,Band Vale
Grupo Bandeirantes,Band Nacional
Grupo Bandeirantes,Band Triângulo
Grupo Bandeirantes,Band Sat
Grupo Bandeirantes,Band Alternativo
Grupo Bandeirantes,Band Rio
Grupo Bandeirantes,Band Minas
Band RS,Band Bahia
Band RS,Band Rede
Band RS,Band Rio Interior
Band RS,Band Ceará
Band RS,Band RS
Band RS,Band SP Interior
Band RS,Band São Paulo
Band RS,Band Amazonas
Band RS,Band Vale
Band RS,Band Nacional
Band RS,Band Triângulo
Band RS,Band Sat
Band RS,Band Alternativo
Band RS,Band Rio
Band RS,Band Minas
Inter TV,Inter TV
Fish TV,Fish TV
TV Méxiquense,AMX Noticias
TV Méxiquense,AMX Noticias +1
TV Méxiquense,TV Méxiquense
TV Mirante,Rede Amazônica Itacoatiara
TV Mirante,TV Liberal
TV Mirante,TV Fronteira
TV Mirante,RBS TV Santa Cruz
TV Mirante,RPC Curitiba
TV Mirante,Rede Amazônica Porto Velho
TV Mirante,Globo Internacional
TV Mirante,TV Mirante Cocais
TV Mirante,TV Gazeta Alagoas
TV Mirante,TV Verdes Mares Cariri
TV Mirante,RBS TV Caxias do Sul
TV Mirante,Rede Amazônica Boa Vista
TV Mirante,RBS TV Santa Maria
TV Mirante,TV Integração Juiz de Fora
TV Mirante,TV Morena Campo Grande
TV Mirante,TV Sergipe
TV Mirante,Globo On
TV Mirante,NSC TV Centro-Oeste
TV Mirante,Rede Amazônica Rio Branco
TV Mirante,EPTV Ribeirão Preto e região
TV Mirante,TV Mirante São Luís
TV Mirante,Rede Amazônica Manaus
TV Mirante,Globo África
TV Mirante,Rede Globo
TV Mirante,NSC TV Blumenau
TV Mirante,Rede Amazônica Humaitá
TV Mirante,TV TEM Bauru
TV Mirante,TV Asa Branca
TV Mirante,TV Centro América Sinop
TV Mirante,TV Morena Ponta Porã
TV Mirante,TV Centro América Rondonópolis
TV Mirante,TV Globo Rio de Janeiro
TV Mirante,EPTV Sul de Minas
TV Mirante,TV Centro América Cuiabá
TV Mirante,RPC Ponta Grossa
TV Mirante,NSC TV Florianópolis
TV Mirante,RPC Londrina
TV Mirante,Rede Clube
TV Mirante,Rede Amazônica Vilhena
TV Mirante,TV Mirante Imperatriz
TV Mirante,TV Integração
TV Mirante,RBS TV Passo Fundo
TV Mirante,TV Globo São Paulo
TV Mirante,TV Verdes Mares
TV Mirante,RPC Paranavaí
TV Mirante,RBS TV Pelotas
TV Mirante,Globo Portugal
TV Mirante,RPC Maringá
TV Mirante,Inter TV Costa Branca
TV Mirante,Inter TV Grande Minas
TV Mirante,EPTV Campinas e região
TV Mirante,TV Integração Araxá
TV Mirante,Rede Amazônica Carauari
TV Mirante,RBS TV Porto Alegre
TV Mirante,TV TEM São José do Rio Preto
TV Mirante,Inter TV Vales de Minas Gerais
TV Mirante,TV TEM Itapetininga
TV Mirante,Rede Amazônica Ji-Paraná
TV Mirante,TV Cabo Branco
TV Mirante,TV Anhanguera Goiânia
TV Mirante,TV Diário Mogi das Cruzes
TV Mirante,TV Tapajós
TV Mirante,TV Tribuna
TV Mirante,Inter TV Cabugi
TV Mirante,NSC TV Chapecó
TV Mirante,Rede Amazônica Ariquemes
TV Mirante,NSC TV Criciúma
TV Mirante,TV Rio Sul
TV Mirante,Inter TV Alto Litoral
TV Mirante,TV Globo Nordeste
TV Mirante,RPC Foz do Iguaçu
TV Mirante,NSC TV Joinville
TV Mirante,TV Gazeta Espírito Santo
TV Mirante,Inter TV Serra+Mar
TV Mirante,EPTV Central
TV Mirante,RPC Cascavel
TV Mirante,TV TEM Sorocaba
TV Mirante,Rede Amazônica Cruzeiro do Sul
TV Mirante,TV Integração Uberaba
TV Mirante,Rede Amazônica Coari
TV Mirante,Rede Amazônica Rorainópolis
TV Mirante,TV Globo Brasília
TV Mirante,Rede Amazônica Parinitins
TV Mirante,TV Globo Minas
TV Mirante,Rede Amazônica Manacapuru
TV Encontro das Águas,TV Encontro das Águas
TV Encontro das Águas,TV Encontro das Águas 2.3
TV Encontro das Águas,TV Encontro das Águas 2.2
TV Encontro das Águas,TV Encontro das Águas 2.4
Rede Massa,TV Iguaçu
Rede Massa,TV Cidade Londrina
Rede Massa,TV Tibagi
Rede Massa,TV Naipi
Rede Massa,TV Guará
TV Cultura do Pará,TV Cultura do Pará
TV Assembléia Piauí,TV Assembléia Piauí
NET,NET
TV PE,TV PE
Televisa,Tlnovelas México
Televisa,Nu9ve +1
Televisa,Nu9ve +2
Televisa,Tlnovelas América
Televisa,Nu9ve
Televisa,Canal 5 +1
Televisa,Canal 5 +2
Televisa,Canal 5
Grupo Radio Centro,Grupo Radio Centro
Canal 10 Chiapas,Canal 10 Chiapas
Canal del Congreso 45.1,Canal del Congreso 45.1
IKO MG,IKO MG
Trinity Broadcasting,KETH-TV
Trinity Broadcasting,WHLV-TV
Trinity Broadcasting,KITU-TV
Trinity Broadcasting,WTCE-TV
Trinity Broadcasting,WHFT-TV
Trinity Broadcasting,TBN USA
Univisión,Univisión Este
Univisión,KDTV-TV
Univisión,UniMás Oeste
Univisión,Univisión Oeste
Univisión,Galavisión Este
Univisión,WUVG-TV
Univisión,Galavisión Oeste
Univisión,UniMás Este
Univisión,KUVN-TV
Univisión,KWEX-DT
Univisión,KTVW-TV
Univisión,KUVE-TV
Univisión,Univisión Mountain
Univisión,WLTV-TV
Univisión,KFTV-DT
Univisión,Univision Tlnovelas
MLB Network,MLB Network
MLB Network,MLB Network Alternate
GCI,GCI
ShopHQ,ShopHQ
ShopHQ,ShopHQ Health
C-SPAN,C-SPAN 3
C-SPAN,C-SPAN
C-SPAN,C-SPAN 2
AMC Networks,AMC Networks
NBC Universal,NBC Universal
A+E Networks,Lifetime East
A+E Networks,Lifetime Movies West
A+E Networks,Lifetime Real Women
A+E Networks,Lifetime West
A+E Networks,Crime + Investigation USA
A+E Networks,Lifetime Movies East
Showtime HD East Plex 2,Showtime East
Showtime HD East Plex 2,Showtime Women East
Showtime HD East Plex 2,The Movie Channel Xtra West
Showtime HD East Plex 2,Showtime 2 East
Showtime HD East Plex 2,Showtime Extreme East
Showtime HD East Plex 2,Flix West
Showtime HD East Plex 2,The Movie Channel West
Showtime HD East Plex 2,The Movie Channel Xtra East
Showtime HD East Plex 2,Showtime West
Showtime HD East Plex 2,Showtime 2 West
Showtime HD East Plex 2,Showtime Showcase West
Showtime HD East Plex 2,Sho x Bet East
Showtime HD East Plex 2,Showtime Next West
Showtime HD East Plex 2,Showtime Showcase East
Showtime HD East Plex 2,Showtime Extreme West
Showtime HD East Plex 2,Showtime Next East
Showtime HD East Plex 2,Showtime Women West
Showtime HD East Plex 2,Showtime Family Zone West
Showtime HD East Plex 2,Showtime Family Zone East
Showtime HD East Plex 2,Flix East
Showtime HD East Plex 2,Sho x Bet West
Showtime HD East Plex 2,The Movie Channel East
NASA TV,NASA TV Media
NASA TV,NASA TV UHD
NASA TV,NASA TV Public
Starz,Starz Encore Suspense East
Starz,Starz Kids & Family East
Starz,Starz Edge East
Starz,Starz Encore Action West
Starz,Starz Encore Westerns East
Starz,Starz Encore Classic East
Starz,Starz Encore Black East
Starz,MoviePlex East
Starz,Starz In Black East
Starz,Starz Encore Westerns West
Starz,Starz Encore Español Este
Starz,RetroPlex West
Starz,Starz Comedy West
Starz,Starz Encore West
Starz,Starz Encore Family West
Starz,Starz Edge West
Starz,Starz West
Starz,Starz Encore Black West
Starz,Starz Encore Family East
Starz,IndiePlex West
Starz,IndiePlex East
Starz,Starz East
Starz,Starz Encore Action East
Starz,Starz In Black West
Starz,Starz Comedy East
Starz,Starz Kids & Family West
Starz,Starz Encore East
Starz,Starz Cinema West
Starz,RetroPlex East
Starz,Starz Cinema East
Starz,MoviePlex West
Starz,Starz Encore Suspense West
Starz,Starz Encore Español Oeste
Starz,Starz Encore Classic West
Herring Networks,Herring Networks
MBC America,MBC Drama HD
MBC America,MBC America
SES,SES Ultra HD Demo Channel
Media-Comm,Media-Comm
HBO The Works,HBO Caribbean
HBO The Works,HBO Zone East
HBO The Works,HBO West
HBO The Works,HBO Signature East
HBO The Works,HBO East
HBO The Works,HBO Comedy East
HBO The Works,HBO Comedy West
HBO The Works,HBO 2 East
HBO The Works,HBO Signature West
HBO The Works,HBO 2 West
HBO The Works,HBO Zone West
Bally Sports,Bally Sports Southwest Alternate
Bally Sports,Bally Sports Florida Alternate
Bally Sports,Bally Sports Wisconsin
Bally Sports,Bally Sports Detroit
Bally Sports,Bally Sports Ohio Cleveland
Bally Sports,Bally Sports Ohio
Bally Sports,Bally Sports West
Bally Sports,Bally Sports West Plus
Bally Sports,Bally Sports Southwest Plus
Bally Sports,Bally Sports Arizona
Bally Sports,Bally Sports North Minnesota
Bally Sports,Bally Sports SoCal Plus
Bally Sports,Bally Sports Kansas City
Bally Sports,Bally Sports Midwest Plus
Bally Sports,Bally Sports Sun
Bally Sports,Bally Sports Midwest Alternate
Bally Sports,Bally Sports North
Bally Sports,Bally Sports Netbase
Bally Sports,Bally Sports Arizona Alternate
Bally Sports,Bally Sports Ohio Cincinnati
Bally Sports,Bally Sports San Diego
Bally Sports,Bally Sports North Plus
Bally Sports,Bally Sports South
Bally Sports,Bally Sports Sun Plus
Bally Sports,Bally Sports Alternate
Bally Sports,Bally Sports Ohio Cincinnati Plus
Bally Sports,Bally Sports Oklahoma
Bally Sports,Bally Sports Wisconsin Plus
Bally Sports,Bally Sports San Diego Plus
Bally Sports,Bally Sports Southeast
Bally Sports,Bally Sports Detroit Plus
Bally Sports,Bally Sports Florida
Bally Sports,Bally Sports Southwest
Bally Sports,Bally Sports Florida Plus
Bally Sports,Bally Sports Great Lakes
Bally Sports,Bally Sports SoCal
Bally Sports,Bally Sports Ohio Plus
Bally Sports,Bally Sports Arizona Plus
Bally Sports,Bally Sports Indiana
Bally Sports,Bally Sports New Orleans
Bally Sports,Bally Sports Midwest
EWTN,EWTN
Big Ten Network,Big Ten Network Alternate
Big Ten Network,Big Ten Network
In Demand,In Demand PPV 2
In Demand,In Demand en Español
In Demand,In Demand 7
In Demand,In Demand 2
In Demand,In Demand PPV
In Demand,In Demand 1
In Demand,In Demand 3
ION Media Networks,ION Media Networks
